"","Reviews","Language","Language_score","Sentiment","Mixed","Negative","Neutral","Positive"
"24","They don't put the sex scene in for women, so be strong. An emotional-filled film with real drama and a story still has more value than a porn that the moustache and beer-bellied Józsik watched from the age of 12.","en",0.991541504859924,"POSITIVE",0.04114,0.03222,0.04039,0.88625
"25","Overwhelmed suck cylinder. It's only become such a success because Twilight and Fifty Shades of Grey. Women love stories like that because they can get into it. The 15-year-olds fall in love with Rájengoszling, the 25-year-olds have a tingling womb that they want such a guy, the lonely 35-year-olds push ice cream inside crying, the 40s living in a casual, passion-free relationship, and 50s imagine in their dreams that something is really with them something like this happened, and they didn't marry an electrician with a mustache, beer-bellied, named Józsi. 
I'm not saying it's a bad movie or a bad story, it wasn't that bad even with the characters. But his rating is far from so good because it would be such a big movie, but because women are incredibly easy to lead with a little romantic story, especially if you add sex scenes into it. It's a clear success, it can be any flat fostenger behind it, if there's sex, love, crying and screaming, it's already won. Oh, and of course, the huge social difference, which is also present in all these films, because the real story is only if one is rich, the other poor (or vampire) and at least half of the parents are definitely against it. Girl rebellion, that's what needs, especially for someone who has never done it in their own life. Yeah, and making out in the rain. Instant orgasm for women sitting in front of the TV, and they are already pushing 10 points. 
Of course, there is nothing wrong with this, every style has its own target audience, such is the film industry.:)","en",0.995834589004517,"NEGATIVE",0.12987,0.78775,0.03308,0.04929
"26","I think it was a study film.Love is capable of miracles.Unfortunately, in today's vil`ag this is not an option but it is a beautiful film. 10/10","en",0.98779296875,"MIXED",0.82799,0.00055,0.00043,0.17103
"27","I'm not going to sing prayers about the film, I need to see it. What does true love do to a man...
One of the best, if not the best romantic films.
9/10","en",0.995425224304199,"POSITIVE",0.00578,0.00235,0.01888,0.97298
"28","It's a very nice movie. I'm glad I watched it. The actress who played old Allie is the director's mother, I've seen many of her films, she's a great actress. And Ryan Gosling, who plays young Noah, is at the top of the Top 15 male ideal list.","en",0.997247874736786,"POSITIVE",2e-05,5e-05,0.00033,0.9996
"29","It's a beautiful movie, I cried on it, I felt it, and it's really terrible how soon the time passes, and if other couples watched it, they thought they could grow old like this.","en",0.997710824012756,"MIXED",0.68382,0.01016,0.00068,0.30533
"30","No one can understand who was not.1 very, truly in love 2. he did not have to choose never in his life 3. he was never forbidden from anyone he loved 4. and can not imagine himself a deadly, incurable patient.. I almost write.. there is no 60 years.Very rarely there are young people who can 60 years old to think, but it's really rare. It's hard to imagine this life situation until you have a 60-year-old minimum. And then almost everyone knows what it's about. Heavy. But whoever was at some point knows, feels, understands.","en",0.996232688426971,"MIXED",0.49708,0.13033,0.17568,0.19691
"31","It's a beautiful movie, I love it. It's not the first time I've seen it, and it's not the last time!:)
Anyone who doesn't understand this film is his spiritual poverty, and I can only regret it.","en",0.997032761573792,"POSITIVE",0.00012,0.00016,9e-05,0.99962
"32","I've heard a lot of good things about this movie. It was a huge disappointment. It was torture to watch. Terribly boring, predictable ending and too cheesy movie. I don't understand how this could be the “most beautiful movie in the world”...","en",0.992696464061737,"NEGATIVE",0.00015,0.99964,9e-05,0.00012
"33","trudy described everything about him in front of me about the film... incomprehensible enthusiasm... too hypeated","en",0.980473399162292,"NEGATIVE",0.00046,0.9863,0.00308,0.01015
"34","I don't understand why this film is so popular.
If you've seen or read a love story from your classic pen, I simply don't understand how you can be a buyer.
We do not learn any human character from the main characters except that the girl is rich and the boy is poor. Their relationship doesn't even know what it is that brings them together and then holds them together. All we know is that they fight all the time, but they love each other very much. In addition, the big “love” that has affected their lives and what they've been shaking back for years is actually just a little summer fling, where nothing happens between them bathing in the lake and looking at the stars. Of course, you have a young head, but that's what makes you a mature adult man. There is no development of character here either. The girl remains the same hysterics all the time, and the boy is a sheep-wearing slippers who can endure everything for love.
When a girl meets someone else in the beginning, we don't even know what kind of person she is, except that she's very rich. There is no real love triangle conflict.
Doesn't it turn out that the girl was eventually disowned from her wealth and chose poverty? Or do parents recognize their love? The only conflict arising from their social situation will eventually remain unresolved.
I sat at him with great hopes, but all I got was an inflated, improbable, empty lemonade. But what I'm a little angry is that the film takes place at an age and has elements (e.g. war, wealth status) that make you get the illusion of a meaningful film.","en",0.996069967746735,"NEGATIVE",0.11929,0.86471,0.00241,0.01359
"35","It's beautiful, but I think it can only be recommended to the spiritually strong...","en",0.995113790035248,"MIXED",0.98899,0.00063,0.00037,0.01002
"36","Beautiful film, I recommend it to all!!! the book I read, the film 
on the basis of this is a great order, the actors are wonderful!","en",0.985289096832275,"POSITIVE",3e-05,3e-05,1e-04,0.99985
"37","It's a wonderful movie. Immersive, simply fantastic. During the film, the number of handkerchiefs fell, but it was worth it. I recommend it to everyone who likes romantic movies.","en",0.98887300491333,"POSITIVE",9e-05,2e-05,8e-05,0.99981
"38","It's just a situation with me, when I hugged and caressed my partner, he came out of it, and all he said to you was a cat, so he wasn't a romantic kind...","en",0.998323917388916,"NEGATIVE",0.02967,0.4981,0.43418,0.03805
"39","I think it's one of the best romantic movies ever. I recommend it specifically for ladies or couples (where the guy is of a more romantic type).
I'm not much of a romantic movie fan, but it really worked for me.
He's been busy all along.","en",0.997308731079102,"POSITIVE",0.00065,7e-05,0.00092,0.99837
"40","It's not a bad movie, it's good as long as they get together, but it didn't get me that much, even though I'm a man. I didn't like the old people in it either. The characters weren't sympathetic either. Walk into the past, I think, is a much nicer and more dramatic film, since N. Mr. Sparks.","en",0.996815383434296,"MIXED",0.95446,0.00208,0.00051,0.04295
"41","I agree! But not only the love thread has strung away from reality, the illnesses of the old lady (dramaturgy and pretentiousness are the only aspect here unfortunately) 
Yes, “One Day” is 100X better film. The “Cinema paradiso” on a similar topic is also 150X.","en",0.988560438156128,"MIXED",0.79287,0.09958,0.02944,0.07811
"42","You can read it here: https://hu.wikipedia.org/wiki/Szerelm%C3%BCnk_lapjai
but the article above is, of course, complete spoiler, read only by those who have already seen it or who do not bother!","en",0.996546566486359,"NEUTRAL",0.00421,0.18213,0.7999,0.01376
"43","I started to write out how good and well-done film I had just seen (this), but seeing the record score and a few fresh hints, I don't even attempt it. Everyone has already taken precedence and written out everything. The film is not only beautiful and good, but also authentic, I mean, the whole milieu, sets, costumes, acting, everything. The director boy arranged his own mother well and all (who) other things. The very end, however, must have been misused, because I had to find out from the Wikipedia article that... so AZ.","en",0.994577527046204,"MIXED",0.84082,0.09043,0.00157,0.06719
"44","I didn't mean specifically for this movie, I meant it in general. They cut the ends off from almost everywhere. In many films, the credits end is about 2 minutes, and they are cut off without heartache and put in a commercial instead.","en",0.997210919857025,"NEGATIVE",0.08176,0.86956,0.00454,0.04414
"45","Did it hurt you that I put a label like that on it?
it wasn't meant to be degrading.","en",0.998227834701538,"NEGATIVE",0.06507,0.80606,0.09518,0.03369
"46","My dear, of course this is a crying film:) that is, a film in which the screenwriter and director lead viewers with well-calculated storytelling and pictures until the women sniff freely, and we discreetly adjust our glasses or go out to pee.
By the way, I like good crying movies, although that's a little feminine, but luckily I'm sure of my sexual preferences.","en",0.996575891971588,"POSITIVE",0.17233,0.21989,0.10075,0.50703
"47","Not at this point, but there are a lot of movies where there are still easter eggs during the credits, for example, in the Mindeelves.","en",0.996902287006378,"NEGATIVE",0.2835,0.34858,0.34601,0.0219
"48","I think it's a disgusting habit for the end headline to be cut off entirely from everywhere, the credits, the musical accompaniment, etc. But advertising blocks are getting denser and longer.","en",0.994479179382324,"NEGATIVE",0.15085,0.84071,0.00476,0.00367
"49","It's the first time I've seen it! But it was a shame to lose those few seconds.","en",0.998214662075043,"NEGATIVE",0.42973,0.45926,0.02188,0.08914
"50","The mother of qva to the cool! There's a lot of commercials and the end of the movie was missed!","en",0.997430801391602,"POSITIVE",0.04745,0.22626,0.08449,0.6418
"51","Nicholas Sparks is one of the best successful pieces of crying movies, by the way, on a conveyor belt.","en",0.995008528232574,"POSITIVE",7e-05,0.00027,0.00913,0.99053
"52","Because I was shocked at how high his score was (I don't know, but could this be our country's favorite romantic movie?) I've been watching a romantic movie, which is not common. Well, that was really good. The girl wasn't my favorite before, but now she was a big one, and I believed her...","en",0.997923076152802,"POSITIVE",0.37737,0.02392,0.03972,0.55899
"53","It's a nice and thoughtful film about a relationship that has died and reanimated several times. Unfortunately, the last scene was very predictable. Basically, I liked the film, but in some places it moved into the “exaggeration” category.
despite all: 9","en",0.995755553245544,"MIXED",0.96155,0.03704,0.00022,0.00119
"54","“Fortunately, I've seen a romantic movie without frosting and frosting.” I'm very interested in that. Would you like to share the titles of some of these movies with me? Thank you in advance!","en",0.997872233390808,"POSITIVE",9e-05,0.00224,0.23365,0.76402
"55","I agree with your comment, but I also respect Phantasia's opinion (this is called diplomacy).","en",0.987723290920258,"NEUTRAL",0.34512,0.03832,0.4805,0.13606
"56","And when the end of the film is cut off by the dear channels... the feeling... “invaluable”.: ((((","en",0.996083855628967,"NEGATIVE",0.00112,0.99507,0.00297,0.00084
"57","Fortunately, I've seen a romantic movie without frosting and frosting.","en",0.9953293800354,"POSITIVE",0.00015,0.00368,0.00742,0.98875
"58","This is the second time I've watched the movie. I really liked it. 10/10. I like to read comments, amuse how much self-proclaimed film stakes, film critic and soul divers etc. express opinions. It's a bit like admiring a painting, and three or four of them jumping up and explaining that I don't like it, of course, explaining why. And it fascinates me when I read that the human soul (for example, mine) does not work as I think (of myself). In vain, you always learn...","en",0.994645297527313,"POSITIVE",0.00063,0.00309,3e-04,0.99598
"59","To do that, you have to go out on the street, live an active community life. ;)
Romantic film and no frosting, you have to take care of this without any frosting...","en",0.99658328294754,"MIXED",0.4588,0.01646,0.07937,0.44536
"60","I don't know if I have any idea about love, but I do know that the human soul does not work as it is depicted in this movie. That's not how real people react to what's happening. Charming is a big 0 in this movie. Others can calmly plunge into the frosted dream that this film presents as love, but when I watch a movie, I'm more inspired and inspired by real, complicated, deep, human emotions.","en",0.996959805488586,"MIXED",0.75468,0.07266,0.00591,0.16674
"61","I'm glad we agree. The only reason I watched this movie is because every girl I know is raving about it, and it's still a mystery to me why. Otherwise, I would have turned it off after about the first five minutes. I'm not a big fan of Rachel McAdams, but I think this is by far the worst movie I've ever seen from her. If you want to see a romantic movie that is about something, I recommend Onde day.","en",0.996401488780975,"MIXED",0.91779,0.07284,0.00072,0.00865
"62","I don't usually watch romantic movies at all, but I have to admit, this story is very nice.
10/10","en",0.996483027935028,"POSITIVE",0.00076,1e-04,0.00223,0.99691
"63","This film is terribly weak. It's been a long time since I've been so upset by a movie, the last one called Pacific Rim.
The characters are completely empty, the story is absolutely stencil, and the whole time there is this huge emotion that was impossible for me to identify with because of the first. Scenes about old people save the film from total failure, with the rest of the frosted balloons with foam on top.","en",0.99599826335907,"NEGATIVE",9e-05,0.99914,0.00012,0.00065
"64","Because I don't understand how you could get past a number of other more interesting and beautiful films. I'm sure you say in light of the fact that this movie is great. But it's not. Horrible.","en",0.997084140777588,"MIXED",0.73028,0.26347,0.00123,0.00502
"65","This is one of the best films in this genre. Yeah, the ending may be a little cheesy, but it's still one of my favorites.","en",0.99436092376709,"MIXED",0.55328,0.00024,0.0011,0.44537
"66","“I'm almost outraged by how many people like this frosted kitsch parade” :D
Now I'm annoying you a little, 'cause I kind of liked this movie. So much so that I have a top list. 10/10:)
I might add... it's funny how other people's tastes annoy me. Is this some kind of up-to-date social disease?
Very nicely staged, well viable. Turning, but still brings the romantic thread that is the hallmark of the title.
I recommend it to everyone who is interested in the films/theme. Guaranteed to be worth the time.","en",0.996368646621704,"POSITIVE",0.14983,0.0045,0.00545,0.84022
"67","I totally agree.
I've written for this film before, because I'm almost indignant about how many people like this frosted kitsch parade. With a completely unrealistic story, only the old thread throws up. Without it, I'd appreciate it at a maximum of 4 Rachel McAdams has almost any romantic comedy better than that as far as the story goes.","en",0.99161171913147,"MIXED",0.55047,0.14191,0.00667,0.30095
"68","I've seen a few more cliché and unrealistic romantic films than that. 
SPOILER
I don't understand why those of you like this movie don't ask the question of why these two people fell in love at all? Most of all, the mystery to me is what the boy saw in the girl. The girl screaming during the whole film, annoyingly giggle or skin. I've summed up all the scenes with that. The attitudes of the side actors are still interesting. Okay, parents find it hard to accept their love, but there was a complication for the film to say something. But the girl's fiancé, who instead of freaking out about her fiancée cheating on her with some random worker guy, instead of saying love to her one more time and about supporting her. And the boy's new girlfriend makes friends with Allie, and then they say good-bye to each other as good girlfriends. How realistic is this???? Noah kind of kicks his ass out for her, but what do you get in return? Nothing, I think. 
I don't think this movie is about anything but a spoiled little girl.","en",0.996750831604004,"MIXED",0.77203,0.2039,0.00568,0.01839
"69","Template and predictable? Cleverly found the two words that don't fit this movie.:)","en",0.981937229633331,"NEGATIVE",0.16424,0.74565,0.01814,0.07198
"70","Such an extraordinary deep love, strong bond is almost not in today's world...Maybe that's why the film is so touching. I also liked the novel on which the film was based.","en",0.995389461517334,"POSITIVE",0.00014,5e-05,0.00075,0.99906
"71","It's a beautiful movie, one of my favorites... I recommend it to everyone.","en",0.991019666194916,"POSITIVE",3e-05,2e-05,0.00013,0.99981
"72","Continued (ONLY IF YOU SEEN): But it's very nice that Noah will stick to his wife in old age, even for the few minutes a day when his wife remembers him. He loves it as well and does not consider it unnecessary to read the story, nor does the doctor discourage it from it.","en",0.997518241405487,"POSITIVE",0.00108,0.00403,0.002,0.99289
"73","Interesting... After watching it several times, I thought more about the whole story, and I don't like it that much anymore. DON'T READ IF YOU HAVE NOT SEEN IT, CAUSE I SHOOT THE JUY! :D Yes, it's cool that it's a love story, but sometimes they exaggerate (e.g. die at the same time) because their love is capable of miraculous... <3 It's interesting to think about the individual characters (separately the main characters) and the final decision, to leave her fiancé... But yes love, I know...:)","en",0.994985044002533,"MIXED",0.79826,0.01726,0.00205,0.18243
"74","I've heard so many good things about this movie and I finally took the “trouble” and watched it this weekend. Not that I did not regret it, but it became one of my favorite films. I loved it from beginning to end. Rachel Mcadams and Ryan Gosling gave an unparalleled performance. They're both really talented.
Go to the movie with the absolutely deserved 10 stars.","en",0.995315849781036,"POSITIVE",4e-05,5e-05,0.00016,0.99975
"75","Hi, guys.
My evaluation (spoiler may be included): the film is good, even very good... it's such an easy, love story, but for some reasons it's “only” 9es for me:
I think the film is being run by the female lead, Rachel McAdams, and it gives a huge performance... I'm very comfortable with the fight that's in it.
Gosling's not bad, although his role may make him such a silly, speechless man, true what he's supposed to bring.
What I really didn't like afterwards (it was interesting to look at the movie), so when the lady's mother takes the girl to a place where she shows her love for decades...That's when I knew how the movie was going to end... and that's why it annoys me, because it makes her decide which guy to choose for a little while again.
In the end, unfortunately, there's a giga of exaggeration, the old people dying hand in hand... it shouldn't have been... too amerais, unfortunately.
But a nice movie, it's worth watching!","en",0.995689690113068,"POSITIVE",0.01614,0.00101,0.00694,0.97591
"76","The film is a classic, “always comes in” cliches: the case of the poor boy with the rich girl, where love conquers instead of money. When the girl comes to a choice, I tried to play to myself, what would I do in this situation? I failed to make a decision<U+1366>)
So: I loved Ryan Gosling later in his films, he was less handsome when he was young (and before plastics), but he played very well even at a young age! The acting games are excellent, Noah brings the role of a little introverted boy, whose watch says it all, and the chick in a lubicked role! 
I am a woman, and I want beautiful, eternal love, so of course I liked the film, because it made me believe that there is eternal love. It is a pity that there is no such thing as to see the two in one guy: that is, the rich, well-trained and educated guy is the one he is in love with. In mind, it may be dangerous to decide for someone from a completely different class who may not be intellectually able to tie him up for a lifetime.
Node back to the film: a little pretentious, even very much the end, the slumber together. I understand this with my mind, but my heart made tears... so little syrup, old times, lots of romance, lightness, love and rationality— decisions and responsibility, old age and togetherness. It had everything I needed to get the perfect score, but somehow I stood up at the end of the movie with tears in my eyes and my mind said, “What a silly movie it was<U+1366>)
So it's hard to decide on the score: the heart and the mind dictate otherwise. So it will be 7/10. Pulling off due to excessive romance, syrup and pretentious scene.","en",0.996185064315796,"POSITIVE",0.02329,0.00348,0.04619,0.92704
"77","It is simply outrageous and unbelievable that this garbage radish club simply cut off the last 5 minutes, even though it had the whole point of the movie!!!!!
The film is great, wonderful, touching and beautiful!","en",0.993094146251678,"MIXED",0.88537,0.00211,6e-05,0.11245
"78","is the biggest movie I've ever seen and brought back together with the woman I love!:) and I was surprised that the main hero for two days is an old man with me because he is Ryan Gosling
Born: November 12, 1980, and just Nov14 this is a very good case:)","en",0.997713387012482,"POSITIVE",0.00016,0.00065,0.00171,0.99748
"79","Due to the peculiarities of the environment, cultural traditions and rock-hard market necessities, the American mass film will always be in a difficult situation when presenting an arbitrary theme story. They usually produce simpler, more understandable tales. On a thin line of pretentiousness and potency. Compressed with an obligatory happy ending. For this reason, the more chiselled, often culturally snobic European saplings often flaunts. Many times these works, which are called prosaically kitsch, have diamond purity, against some purple-shaped, even starred handabouts. That's what we're talking about in this movie. It's a nice, nice story, clearly presented, about people, people, without any false overtones. If you're sure that kitsch is a snob, the audience doesn't have such bad taste.","en",0.991304159164429,"NEUTRAL",0.27759,0.11909,0.40505,0.19827
"80","Again, I can only agree with Stanmore:) Some people here confuse things quite seriously:)","en",0.992460012435913,"MIXED",0.65946,0.14559,0.11888,0.07607
"81","Well, the whole thing is very lifelong, and especially the whole thing is crowded with unobtrusive cliches, the end is particularly typical and viable, it depends only on whom:)","en",0.996879577636719,"POSITIVE",0.10986,0.01802,0.07096,0.80117
"82","I see the other way around that it refers to a certain thing, but very much if someone gives 10 to this kitsch already in the cabaret number:)","en",0.997077584266663,"POSITIVE",0.24552,0.15298,0.19506,0.40643
"83","It is not the basic story - at least I think - because it is really touching, beautiful, and I think everyone has seen at least one similar example in their surroundings, when the parties have stood by each other not only in good, but also in bad. Rather, these are the turns known from typical soap operas, such as poor, working dirty, but intelligent boy, spoiled girl, of course it follows that snobbish parents look bad at their relationship, moreover, mommy does well for them by hiding the letters, and then by the end of the day, it turns out that you can't actually process the mistakes you've made yourself. It also comes with pretentious music, huge romantic hugs, etc. It's okay, but we've seen this a couple of times.
By the way, I liked it despite all this, a nice and beautiful movie, but I couldn't cry about it, like many of us here, and I'm a real fastidious...","en",0.997225224971771,"MIXED",0.93241,0.02355,0.00592,0.03811
"84","Again, you misunderstand. 
Spoiler or not, who doesn't want to stop reading!
It's not about being poor or rich or when Mama realized that her daughter should be allowed to make the right choice. This film will be beautiful by the behavior of the old couple and the old Noah. The fact that the film does not show all of their experiences together, the gray everyday days and the conflicts, one can guess that besides the many good memories they have gone through a lot of things, such as the senility and hysterics of the old lady, but nevertheless Noah stands by her and so it is round. When someone stands by someone, when they have no idea, because they loved each other at some point, it's a sore throat to me. And the fact that the diary was written by the lady precisely so that Noah would read it to her so she could remember - I think it's a very nice twist. The film may also require “internal work”, perhaps that's why it is considered cheesy and stencil by those who only see the pictures and cannot feel it. Or maybe they weren't really in love, but they weren't in love when they wrote their opinions, that's for sure.","en",0.997333705425262,"MIXED",0.51362,0.19294,0.02237,0.27107
